$\tau_{dwell}$ (s),$\tau_{exo}$ (min),"$B^*,U^*/A_{spine}$",-
20,57.627913218295106,"10,5.6",Basic Model
20,63.14401397874399,"10,5.6",Basic Model
20,45.89340297072211,"10,5.6",Basic Model
20,42.22242684682344,"10,5.6",Basic Model
20,29.79895755124428,"10,5.6",Basic Model
20,37.67701863037741,"10,5.6",Basic Model
20,40.96569451308908,"10,5.6",Basic Model
20,42.91317511957083,"10,5.6",Basic Model
20,34.00242175056071,"10,5.6",Basic Model
20,64.93279813947197,"10,5.6",Basic Model
50,46.85983034778729,"10,5.6",Basic Model
50,61.03102464387462,"10,5.6",Basic Model
50,36.17765679823068,"10,5.6",Basic Model
50,53.32126617521206,"10,5.6",Basic Model
50,40.15958242462973,"10,5.6",Basic Model
50,30.265296837647377,"10,5.6",Basic Model
50,33.08790004491528,"10,5.6",Basic Model
50,46.583403816044445,"10,5.6",Basic Model
50,40.14322040728174,"10,5.6",Basic Model
50,31.165299390941023,"10,5.6",Basic Model
100,66.62090425547977,"10,5.6",Basic Model
100,64.76358980303273,"10,5.6",Basic Model
100,41.96090274903683,"10,5.6",Basic Model
100,63.058344099231164,"10,5.6",Basic Model
100,63.77164236839547,"10,5.6",Basic Model
100,41.21935103776091,"10,5.6",Basic Model
100,53.39578616486508,"10,5.6",Basic Model
100,32.41009687558939,"10,5.6",Basic Model
100,51.71247923827084,"10,5.6",Basic Model
100,41.81990775214845,"10,5.6",Basic Model
20,40.95358593669621,"20,11.1",Basic Model
20,45.51497772494747,"20,11.1",Basic Model
20,42.178570512211294,"20,11.1",Basic Model
20,40.15748007524111,"20,11.1",Basic Model
20,42.96104787480546,"20,11.1",Basic Model
20,42.935172110784556,"20,11.1",Basic Model
20,42.61425214861576,"20,11.1",Basic Model
20,54.03732690549794,"20,11.1",Basic Model
20,43.799441335206225,"20,11.1",Basic Model
20,42.486134990555676,"20,11.1",Basic Model
50,48.349826023297936,"20,11.1",Basic Model
50,36.418928534000656,"20,11.1",Basic Model
50,63.77692837085906,"20,11.1",Basic Model
50,38.06561282510668,"20,11.1",Basic Model
50,43.04479328708896,"20,11.1",Basic Model
50,52.263127046073166,"20,11.1",Basic Model
50,59.635203194533936,"20,11.1",Basic Model
50,39.611553392026025,"20,11.1",Basic Model
50,37.00002765871898,"20,11.1",Basic Model
50,60.78581486472431,"20,11.1",Basic Model
100,58.65241462008079,"20,11.1",Basic Model
100,38.55217208090747,"20,11.1",Basic Model
100,41.1992486845353,"20,11.1",Basic Model
100,45.40061423000928,"20,11.1",Basic Model
100,48.40135115608385,"20,11.1",Basic Model
100,36.61029728076219,"20,11.1",Basic Model
100,39.421702046958146,"20,11.1",Basic Model
100,33.1135018768561,"20,11.1",Basic Model
100,45.6388657561563,"20,11.1",Basic Model
100,47.129768122220426,"20,11.1",Basic Model
20,61.219687561953016,"40,22.3",Basic Model
20,44.18759574505568,"40,22.3",Basic Model
20,58.87048402022361,"40,22.3",Basic Model
20,61.01272661332088,"40,22.3",Basic Model
20,52.253987014033946,"40,22.3",Basic Model
20,41.23980930307327,"40,22.3",Basic Model
20,50.11347506939989,"40,22.3",Basic Model
20,50.6790672276563,"40,22.3",Basic Model
20,48.89415925067622,"40,22.3",Basic Model
20,57.11854293511114,"40,22.3",Basic Model
50,40.72797270170128,"40,22.3",Basic Model
50,40.89727924251785,"40,22.3",Basic Model
50,40.03910619491314,"40,22.3",Basic Model
50,36.44571320375529,"40,22.3",Basic Model
50,39.50264260712506,"40,22.3",Basic Model
50,54.70934812144608,"40,22.3",Basic Model
50,39.89503853516162,"40,22.3",Basic Model
50,55.16195836630563,"40,22.3",Basic Model
50,42.980972897484236,"40,22.3",Basic Model
50,45.008295969823706,"40,22.3",Basic Model
100,61.520610944315855,"40,22.3",Basic Model
100,29.76468188128966,"40,22.3",Basic Model
100,54.10183001808204,"40,22.3",Basic Model
100,57.03219424794088,"40,22.3",Basic Model
100,50.11996252311175,"40,22.3",Basic Model
100,45.72789557468525,"40,22.3",Basic Model
100,31.99059393413426,"40,22.3",Basic Model
100,46.923218868457376,"40,22.3",Basic Model
100,55.32500810424482,"40,22.3",Basic Model
100,33.295083399066286,"40,22.3",Basic Model
20,37.44513106314292,"10,5.6",sLTP Model
20,53.00430585536681,"10,5.6",sLTP Model
20,36.8411407195904,"10,5.6",sLTP Model
20,43.65507132052161,"10,5.6",sLTP Model
20,61.2038610033805,"10,5.6",sLTP Model
20,36.57768532666162,"10,5.6",sLTP Model
20,28.80014534478055,"10,5.6",sLTP Model
20,47.66870879188021,"10,5.6",sLTP Model
20,27.435775098015654,"10,5.6",sLTP Model
20,34.05386153042943,"10,5.6",sLTP Model
50,34.7573190269869,"10,5.6",sLTP Model
50,28.268873529304628,"10,5.6",sLTP Model
50,25.45520235872402,"10,5.6",sLTP Model
50,30.899209292602066,"10,5.6",sLTP Model
50,45.68303828926819,"10,5.6",sLTP Model
50,40.948110095672796,"10,5.6",sLTP Model
50,25.907820767928392,"10,5.6",sLTP Model
50,63.799863934530705,"10,5.6",sLTP Model
50,24.568779348256772,"10,5.6",sLTP Model
50,43.490968560738025,"10,5.6",sLTP Model
100,60.39478226103992,"10,5.6",sLTP Model
100,32.708813150243635,"10,5.6",sLTP Model
100,50.37443033178556,"10,5.6",sLTP Model
100,45.50680624546306,"10,5.6",sLTP Model
100,29.744571016053886,"10,5.6",sLTP Model
100,35.48457208770948,"10,5.6",sLTP Model
100,55.77493512196819,"10,5.6",sLTP Model
100,10.7214799888808,"10,5.6",sLTP Model
100,14.126435469379572,"10,5.6",sLTP Model
100,61.527309443809095,"10,5.6",sLTP Model
20,64.69477258716948,"20,11.1",sLTP Model
20,49.801068369842326,"20,11.1",sLTP Model
20,52.834130626629936,"20,11.1",sLTP Model
20,53.21017617331357,"20,11.1",sLTP Model
20,41.1919856989516,"20,11.1",sLTP Model
20,58.912833390109114,"20,11.1",sLTP Model
20,45.25995002787336,"20,11.1",sLTP Model
20,30.95456627842766,"20,11.1",sLTP Model
20,42.411832699686,"20,11.1",sLTP Model
20,52.10885934259466,"20,11.1",sLTP Model
50,21.848128045299564,"20,11.1",sLTP Model
50,27.020307216228954,"20,11.1",sLTP Model
50,50.34076180534156,"20,11.1",sLTP Model
50,31.571813162900483,"20,11.1",sLTP Model
50,57.908119554643434,"20,11.1",sLTP Model
50,36.44934487671027,"20,11.1",sLTP Model
50,49.71910615234181,"20,11.1",sLTP Model
50,46.8605187170085,"20,11.1",sLTP Model
50,25.2797284584965,"20,11.1",sLTP Model
50,54.93587256058413,"20,11.1",sLTP Model
100,54.82548680099422,"20,11.1",sLTP Model
100,47.204489970912626,"20,11.1",sLTP Model
100,38.95994192379319,"20,11.1",sLTP Model
100,25.164773353319525,"20,11.1",sLTP Model
100,43.62561607436712,"20,11.1",sLTP Model
100,34.18726845118777,"20,11.1",sLTP Model
100,53.98066789298605,"20,11.1",sLTP Model
100,21.863146876909816,"20,11.1",sLTP Model
100,32.91319363199509,"20,11.1",sLTP Model
100,44.51014862201498,"20,11.1",sLTP Model
20,56.38183958625778,"40,22.3",sLTP Model
20,47.7376861047701,"40,22.3",sLTP Model
20,54.386310070813856,"40,22.3",sLTP Model
20,43.35018485075011,"40,22.3",sLTP Model
20,53.06530689218692,"40,22.3",sLTP Model
20,61.230958141989824,"40,22.3",sLTP Model
20,52.278747279690116,"40,22.3",sLTP Model
20,55.321897277540224,"40,22.3",sLTP Model
20,34.70937820492724,"40,22.3",sLTP Model
20,66.00885811791657,"40,22.3",sLTP Model
50,37.809504551587786,"40,22.3",sLTP Model
50,65.06996448785915,"40,22.3",sLTP Model
50,26.986751988509564,"40,22.3",sLTP Model
50,50.195066316135815,"40,22.3",sLTP Model
50,52.90742602224563,"40,22.3",sLTP Model
50,51.611280660821635,"40,22.3",sLTP Model
50,27.315651066239706,"40,22.3",sLTP Model
50,29.596678768054066,"40,22.3",sLTP Model
50,30.657349727599872,"40,22.3",sLTP Model
50,32.56386156606901,"40,22.3",sLTP Model
100,63.33759062779023,"40,22.3",sLTP Model
100,49.73296614953144,"40,22.3",sLTP Model
100,50.42693350963511,"40,22.3",sLTP Model
100,59.22938091683771,"40,22.3",sLTP Model
100,48.65306661170326,"40,22.3",sLTP Model
100,50.75001007001923,"40,22.3",sLTP Model
100,26.708438420416435,"40,22.3",sLTP Model
100,43.2472130444054,"40,22.3",sLTP Model
100,34.157116943212735,"40,22.3",sLTP Model
100,59.25602270705942,"40,22.3",sLTP Model
20,57.76112213452911,"10,5.6",Cooperative Model
20,34.44707988035946,"10,5.6",Cooperative Model
20,38.30281077394591,"10,5.6",Cooperative Model
20,56.61207630710141,"10,5.6",Cooperative Model
20,51.39769709960892,"10,5.6",Cooperative Model
20,33.7621040480282,"10,5.6",Cooperative Model
20,41.734247188672775,"10,5.6",Cooperative Model
20,42.044458265943426,"10,5.6",Cooperative Model
20,25.84381801202237,"10,5.6",Cooperative Model
20,61.661271751599756,"10,5.6",Cooperative Model
50,44.85300066003049,"10,5.6",Cooperative Model
50,44.08197826097037,"10,5.6",Cooperative Model
50,42.77398391908145,"10,5.6",Cooperative Model
50,29.50829060145544,"10,5.6",Cooperative Model
50,33.00200770607348,"10,5.6",Cooperative Model
50,24.81921911179974,"10,5.6",Cooperative Model
50,62.36231476233931,"10,5.6",Cooperative Model
50,47.03183049809131,"10,5.6",Cooperative Model
50,62.27597060577669,"10,5.6",Cooperative Model
50,27.07192147083002,"10,5.6",Cooperative Model
100,48.11195055181791,"10,5.6",Cooperative Model
100,61.58931952315469,"10,5.6",Cooperative Model
100,26.821145315988066,"10,5.6",Cooperative Model
100,61.384338477766825,"10,5.6",Cooperative Model
100,20.954289588171203,"10,5.6",Cooperative Model
100,54.332871732118655,"10,5.6",Cooperative Model
100,33.277789730729744,"10,5.6",Cooperative Model
100,13.830851681738404,"10,5.6",Cooperative Model
100,52.06383423935414,"10,5.6",Cooperative Model
100,58.94167040820233,"10,5.6",Cooperative Model
20,58.825375118083215,"20,11.1",Cooperative Model
20,52.924642727618696,"20,11.1",Cooperative Model
20,54.12132097492282,"20,11.1",Cooperative Model
20,56.47507797306907,"20,11.1",Cooperative Model
20,53.31364730822441,"20,11.1",Cooperative Model
20,37.93372840692867,"20,11.1",Cooperative Model
20,52.13923948261514,"20,11.1",Cooperative Model
20,32.71751823488909,"20,11.1",Cooperative Model
20,52.9652399704217,"20,11.1",Cooperative Model
20,31.31005604209402,"20,11.1",Cooperative Model
50,65.92635636861525,"20,11.1",Cooperative Model
50,27.734014163847096,"20,11.1",Cooperative Model
50,44.67738363824227,"20,11.1",Cooperative Model
50,37.877548160213465,"20,11.1",Cooperative Model
50,33.03561220858639,"20,11.1",Cooperative Model
50,28.367667715593026,"20,11.1",Cooperative Model
50,36.52345332643321,"20,11.1",Cooperative Model
50,45.236760811699696,"20,11.1",Cooperative Model
50,33.942581411178864,"20,11.1",Cooperative Model
50,27.806628847361058,"20,11.1",Cooperative Model
100,36.4778095210248,"20,11.1",Cooperative Model
100,39.651539513800124,"20,11.1",Cooperative Model
100,22.662147436944384,"20,11.1",Cooperative Model
100,2.0953758888252163,"20,11.1",Cooperative Model
100,20.367492554452003,"20,11.1",Cooperative Model
100,8.213760085394368,"20,11.1",Cooperative Model
100,38.27373140370316,"20,11.1",Cooperative Model
100,55.05521002289529,"20,11.1",Cooperative Model
100,30.663187963330806,"20,11.1",Cooperative Model
100,42.04131334343132,"20,11.1",Cooperative Model
20,55.81161173150852,"40,22.3",Cooperative Model
20,60.755958089611994,"40,22.3",Cooperative Model
20,49.01056355634037,"40,22.3",Cooperative Model
20,52.8342282802123,"40,22.3",Cooperative Model
20,43.74668032574019,"40,22.3",Cooperative Model
20,35.58233730106758,"40,22.3",Cooperative Model
20,35.78538659626881,"40,22.3",Cooperative Model
20,66.0600968077394,"40,22.3",Cooperative Model
20,36.82237426482266,"40,22.3",Cooperative Model
20,53.910232504119556,"40,22.3",Cooperative Model
50,29.220029301201173,"40,22.3",Cooperative Model
50,39.181295484496545,"40,22.3",Cooperative Model
50,24.141500483354957,"40,22.3",Cooperative Model
50,44.64898153130966,"40,22.3",Cooperative Model
50,40.510248261852325,"40,22.3",Cooperative Model
50,47.983856274089746,"40,22.3",Cooperative Model
50,40.78436430469211,"40,22.3",Cooperative Model
50,31.79368420003208,"40,22.3",Cooperative Model
50,14.229909891976321,"40,22.3",Cooperative Model
50,23.68856100835967,"40,22.3",Cooperative Model
100,31.7920496872884,"40,22.3",Cooperative Model
100,32.535792746032605,"40,22.3",Cooperative Model
100,17.530141744112434,"40,22.3",Cooperative Model
100,33.915745240252924,"40,22.3",Cooperative Model
100,48.60274396212042,"40,22.3",Cooperative Model
100,34.42240501157241,"40,22.3",Cooperative Model
100,21.070730336701832,"40,22.3",Cooperative Model
100,14.116942534012514,"40,22.3",Cooperative Model
100,33.168939035261346,"40,22.3",Cooperative Model
100,29.358758004358943,"40,22.3",Cooperative Model
